"movie","year_of_award","award","avg_vote","genre","duration","country","period"
"The Dark Knight",2009,"Best Supporting Actor",9,"Action, Crime, Drama",152,"USA, UK","1998 - 2014"
"The Deer Hunter",1979,"Best Director",8.1,"Drama, War",183,"USA","1964 - 1980"
"The Deer Hunter",1979,"Best Supporting Actor",8.1,"Drama, War",183,"USA","1964 - 1980"
"The Departed",2007,"Best Director",8.5,"Crime, Drama, Thriller",151,"USA","1998 - 2014"
"The Diary Of Anne Frank",1960,"Best Supporting Actress",7.4,"Biography, Drama, Family",180,"USA","1947 - 1963"
"The Divine Lady",1930,"Best Director",6.3,"Drama, History, Romance",99,"USA","1930 - 1946"
"The Divorcee",1930,"Best Actress",6.8,"Romance, Drama",84,"USA","1930 - 1946"
"The English Patient",1997,"Best Supporting Actress",7.4,"Drama, Romance, War",162,"USA, UK","1981 - 1997"
"The English Patient",1997,"Best Director",7.4,"Drama, Romance, War",162,"USA, UK","1981 - 1997"
"The Farmer's Daughter",1948,"Best Actress",7.2,"Comedy, Drama, Romance",97,"USA","1947 - 1963"
"The Fighter",2011,"Best Supporting Actress",7.8,"Biography, Drama, Sport",116,"USA","1998 - 2014"
"The Fighter",2011,"Best Supporting Actor",7.8,"Biography, Drama, Sport",116,"USA","1998 - 2014"
"The Fisher King",1992,"Best Supporting Actress",7.5,"Comedy, Drama, Fantasy",137,"USA","1981 - 1997"
"The Fortune Cookie",1967,"Best Supporting Actor",7.3,"Comedy, Romance",125,"USA","1964 - 1980"
"The French Connection",1972,"Best Actor",7.7,"Action, Crime, Drama",104,"USA","1964 - 1980"
"The French Connection",1972,"Best Director",7.7,"Action, Crime, Drama",104,"USA","1964 - 1980"
"The Fugitive",1994,"Best Supporting Actor",7.8,"Action, Crime, Drama",130,"USA","1981 - 1997"
"The Godfather",1973,"Best Actor",9.2,"Crime, Drama",175,"USA","1964 - 1980"
"The Good Earth",1938,"Best Actress",7.5,"Drama, Romance",138,"USA","1930 - 1946"
"The Goodbye Girl",1978,"Best Actor",7.4,"Comedy, Drama, Romance",111,"USA","1964 - 1980"
"The Graduate",1968,"Best Director",8,"Comedy, Drama, Romance",106,"USA","1964 - 1980"
"The Grapes Of Wrath",1941,"Best Director",8,"Drama, History",129,"USA","1930 - 1946"
"The Grapes Of Wrath",1941,"Best Supporting Actress",8,"Drama, History",129,"USA","1930 - 1946"
"The Great Lie",1942,"Best Supporting Actress",7.2,"Drama",108,"USA","1930 - 1946"
"The Great Ziegfeld",1937,"Best Actress",6.7,"Biography, Drama, Musical",176,"USA","1930 - 1946"
"The Heiress",1950,"Best Actress",8.2,"Drama, Romance",115,"USA","1947 - 1963"
"The Help",2012,"Best Supporting Actress",8.1,"Drama",146,"USA, India, United Arab Emirates, UK, France, Canada, Germany","1998 - 2014"
"The Hours",2003,"Best Actress",7.5,"Drama, Romance",110,"USA, UK, France, Canada, Germany","1998 - 2014"
"The Hurt Locker",2010,"Best Director",7.6,"Drama, Thriller, War",131,"USA","1998 - 2014"
"The Informer",1936,"Best Director",7.5,"Crime, Drama",91,"USA","1930 - 1946"
"The Informer",1936,"Best Actor",7.5,"Crime, Drama",91,"USA","1930 - 1946"
"The Iron Lady",2012,"Best Actress",6.4,"Biography, Drama",105,"UK, France","1998 - 2014"
"The Killing Fields",1985,"Best Supporting Actor",7.8,"Biography, Drama, History",141,"UK","1981 - 1997"
"The King And I",1957,"Best Actor",7.4,"Biography, Drama, Musical",133,"USA","1947 - 1963"
"The King's Speech",2011,"Best Director",8,"Biography, Drama, History",118,"UK, USA, Australia","1998 - 2014"
"The King's Speech",2011,"Best Actor",8,"Biography, Drama, History",118,"UK, USA, Australia","1998 - 2014"
"The Last Emperor",1988,"Best Director",7.7,"Biography, Drama, History",163,"UK, Italy, China, France","1981 - 1997"
"The Last King Of Scotland",2007,"Best Actor",7.7,"Biography, Drama, History",123,"UK, Germany","1998 - 2014"
"The Last Picture Show",1972,"Best Supporting Actor",8,"Drama",118,"USA","1964 - 1980"
"The Last Picture Show",1972,"Best Supporting Actress",8,"Drama",118,"USA","1964 - 1980"
"The Life Of Emile Zola",1938,"Best Supporting Actor",7.2,"Biography, Drama",116,"USA","1930 - 1946"
"The Lost Weekend",1946,"Best Director",7.9,"Drama, Film-Noir",101,"USA","1930 - 1946"
"The Lost Weekend",1946,"Best Actor",7.9,"Drama, Film-Noir",101,"USA","1930 - 1946"
"The Miracle Worker",1963,"Best Supporting Actress",8.1,"Biography, Drama",106,"USA","1947 - 1963"
"The Miracle Worker",1963,"Best Actress",8.1,"Biography, Drama",106,"USA","1947 - 1963"
"The More The Merrier",1944,"Best Supporting Actor",7.7,"Comedy, Romance, War",104,"USA","1930 - 1946"
"The Paper Chase",1974,"Best Supporting Actor",7.2,"Comedy, Drama",113,"USA","1964 - 1980"
"The Philadelphia Story",1941,"Best Actor",7.9,"Comedy, Romance",112,"USA","1930 - 1946"
"The Pianist",2003,"Best Actor",8.5,"Biography, Drama, Music",150,"UK, France, Poland, Germany","1998 - 2014"
"The Pianist",2003,"Best Director",8.5,"Biography, Drama, Music",150,"UK, France, Poland, Germany","1998 - 2014"
"The Piano",1994,"Best Actress",7.6,"Drama, Music, Romance",121,"New Zealand, Australia, France","1981 - 1997"
"The Piano",1994,"Best Supporting Actress",7.6,"Drama, Music, Romance",121,"New Zealand, Australia, France","1981 - 1997"
"The Prime Of Miss Jean Brodie",1970,"Best Actress",7.6,"Drama, Romance",116,"UK","1964 - 1980"
"The Queen",2007,"Best Actress",7.3,"Biography, Drama, History",103,"UK, USA, France, Italy","1998 - 2014"
"The Quiet Man",1953,"Best Director",7.8,"Comedy, Drama, Romance",129,"USA","1947 - 1963"
"The Razor's Edge",1947,"Best Supporting Actress",7.4,"Drama, Romance",145,"USA","1947 - 1963"
"The Reader",2009,"Best Actress",7.6,"Drama, Romance",124,"Germany, USA","1998 - 2014"
"The Rose Tattoo",1956,"Best Actress",7.1,"Comedy, Drama, Romance",117,"USA","1947 - 1963"
"The Silence Of The Lambs",1992,"Best Actress",8.6,"Crime, Drama, Thriller",118,"USA","1981 - 1997"
"The Silence Of The Lambs",1992,"Best Director",8.6,"Crime, Drama, Thriller",118,"USA","1981 - 1997"
"The Sin Of Madelon Claudet",1932,"Best Actress",6.7,"Drama",75,"USA","1930 - 1946"
"The Song Of Bernadette",1944,"Best Actress",7.6,"Biography, Drama",156,"USA","1930 - 1946"
"The Sound Of Music",1966,"Best Director",8,"Biography, Drama, Family",172,"USA","1964 - 1980"
"The Sting",1974,"Best Director",8.3,"Comedy, Crime, Drama",129,"USA","1964 - 1980"
"The Story Of Louis Pasteur",1937,"Best Actor",7.3,"Biography, Drama, History",86,"USA","1930 - 1946"
"The Subject Was Roses",1969,"Best Supporting Actor",7,"Drama",107,"USA","1964 - 1980"
"The Sunshine Boys",1976,"Best Supporting Actor",7.2,"Comedy",111,"USA","1964 - 1980"
"The Three Faces Of Eve",1958,"Best Actress",7.2,"Drama, Mystery",91,"USA","1947 - 1963"
"The Treasure Of The Sierra Madre",1949,"Best Supporting Actor",8.2,"Adventure, Drama, Western",126,"USA, Mexico","1947 - 1963"
"The Treasure Of The Sierra Madre",1949,"Best Director",8.2,"Adventure, Drama, Western",126,"USA, Mexico","1947 - 1963"
"The Trip To Bountiful",1986,"Best Actress",7.5,"Drama",108,"USA","1981 - 1997"
"The Untouchables",1988,"Best Supporting Actor",7.9,"Crime, Drama, Thriller",119,"USA","1981 - 1997"
"The Usual Suspects",1996,"Best Supporting Actor",8.5,"Crime, Mystery, Thriller",106,"USA, Germany","1981 - 1997"
"The V.i.p.s",1964,"Best Supporting Actress",6.3,"Drama",119,"UK","1964 - 1980"
"The Westerner",1941,"Best Supporting Actor",7.4,"Drama, Romance, Western",100,"USA","1930 - 1946"
"The Year Of Living Dangerously",1984,"Best Supporting Actress",7.1,"Drama, Romance, War",115,"Australia, USA","1981 - 1997"
"There Will Be Blood",2008,"Best Actor",8.1,"Drama",158,"USA","1998 - 2014"
"They Shoot Horses, Don't They?",1970,"Best Supporting Actor",7.9,"Drama",129,"USA","1964 - 1980"
"Titanic",1998,"Best Director",7.8,"Drama, Romance",194,"USA","1998 - 2014"
"To Each His Own",1947,"Best Actress",7.7,"Drama, Romance",122,"USA","1947 - 1963"
"To Kill A Mockingbird",1963,"Best Actor",8.3,"Crime, Drama",129,"USA","1947 - 1963"
"Tom Jones",1964,"Best Director",6.5,"Adventure, Comedy, History",129,"UK","1964 - 1980"
"Tootsie",1983,"Best Supporting Actress",7.4,"Comedy, Drama, Romance",116,"USA","1981 - 1997"
"Topkapi",1965,"Best Supporting Actor",7,"Adventure, Comedy, Crime",120,"USA","1964 - 1980"
"Traffic",2001,"Best Supporting Actor",7.6,"Crime, Drama, Thriller",147,"USA, Mexico, Germany","1998 - 2014"
"Traffic",2001,"Best Director",7.6,"Crime, Drama, Thriller",147,"USA, Mexico, Germany","1998 - 2014"
"Training Day",2002,"Best Actor",7.7,"Crime, Drama, Thriller",122,"USA","1998 - 2014"
"True Grit",1970,"Best Actor",7.4,"Adventure, Drama, Western",128,"USA","1964 - 1980"
"Twelve O'clock High",1950,"Best Supporting Actor",7.7,"Drama, War",132,"USA","1947 - 1963"
"Unforgiven",1993,"Best Supporting Actor",8.2,"Drama, Western",130,"USA","1981 - 1997"
"Unforgiven",1993,"Best Director",8.2,"Drama, Western",130,"USA","1981 - 1997"
"Vicky Cristina Barcelona",2009,"Best Supporting Actress",7.1,"Comedy, Drama, Romance",96,"Spain, USA","1998 - 2014"
"Viva Zapata!",1953,"Best Supporting Actor",7.4,"Biography, Drama, History",113,"USA","1947 - 1963"
"Walk The Line",2006,"Best Actress",7.8,"Biography, Drama, Music",136,"USA, Germany","1998 - 2014"
"Wall Street",1988,"Best Actor",7.4,"Crime, Drama",126,"USA","1981 - 1997"
"Watch On The Rhine",1944,"Best Actor",7.3,"Drama",114,"USA","1930 - 1946"
"West Side Story",1962,"Best Director",7.5,"Crime, Drama, Musical",153,"USA","1947 - 1963"
"West Side Story",1962,"Best Supporting Actress",7.5,"Crime, Drama, Musical",153,"USA","1947 - 1963"
"West Side Story",1962,"Best Supporting Actor",7.5,"Crime, Drama, Musical",153,"USA","1947 - 1963"
"Who's Afraid Of Virginia Woolf?",1967,"Best Actress",8,"Drama",131,"USA","1964 - 1980"
"Who's Afraid Of Virginia Woolf?",1967,"Best Supporting Actress",8,"Drama",131,"USA","1964 - 1980"
"Women In Love",1971,"Best Actress",7.3,"Drama, Romance",131,"UK","1964 - 1980"
"Written On The Wind",1957,"Best Supporting Actress",7.4,"Drama",99,"USA","1947 - 1963"
"Yankee Doodle Dandy",1943,"Best Actor",7.7,"Biography, Drama, Musical",126,"USA","1930 - 1946"
"You Can't Take It With You",1939,"Best Director",7.9,"Comedy, Drama, Romance",126,"USA","1930 - 1946"
"The Champ",1933,"Best Actor",7.3,"Drama, Sport",86,"USA","1930 - 1946"
"Dr. Jekyll And Mr. Hyde",1933,"Best Actor",7.6,"Horror, Sci-Fi",98,"USA","1930 - 1946"
"The Sin Of Madelon Claudet",1933,"Best Actress",6.7,"Drama",75,"USA","1930 - 1946"
"The Private Life Of Henry VIII",1934,"Best Actor",7.1,"Biography, Comedy, Drama",97,"UK","1930 - 1946"
"Goodbye, Mr. Chips",1940,"Best Actor",7.9,"Drama, Romance",114,"UK, USA","1930 - 1946"
"Mrs. Miniver",1943,"Best Actress",7.6,"Drama, Romance, War",134,"USA","1930 - 1946"
"The African Queen",1952,"Best Actor",7.7,"Adventure, Drama, Romance",105,"UK, USA","1947 - 1963"
"Judgment at Nuremberg",1962,"Best Actor",8.2,"Drama, War",189,"USA","1947 - 1963"
"Two Women",1962,"Best Actress",7.8,"Drama, War",101,"Italy, France","1947 - 1963"
"Zorba The Greek",1965,"Best Supporting Actress",7.7,"Comedy, Drama",142,"Greece, USA","1964 - 1980"
"The Godfather Part II",1975,"Best Supporting Actor",9,"Crime, Drama",202,"USA","1964 - 1980"
"The Godfather Part II",1975,"Best Director",9,"Crime, Drama",202,"USA","1964 - 1980"
"Being There",1980,"Best Supporting Actor",8,"Comedy, Drama",130,"USA","1964 - 1980"
"Ordinary People",1981,"Best Supporting Actor",7.7,"Drama",124,"USA","1981 - 1997"
"Amadeus",1985,"Best Actor",8.3,"Biography, Drama, History",160,"USA","1981 - 1997"
"Amadeus",1985,"Best Director",8.3,"Biography, Drama, History",160,"USA","1981 - 1997"
"Rain Man",1989,"Best Actor",8,"Drama",133,"USA","1981 - 1997"
"Driving Miss Daisy",1990,"Best Supporting Actress",7.4,"Drama",99,"USA","1981 - 1997"
"My Left Foot",1990,"Best Actor",7.9,"Biography, Drama",103,"Ireland, UK","1981 - 1997"
"Good Fellas",1991,"Best Supporting Actor",7.3,"Biography, Crime, Drama",146,"USA","1981 - 1997"
"The Silence Of The Lambs",1992,"Best Actor",8.6,"Crime, Drama, Thriller",118,"USA","1981 - 1997"
"Life Is Beautiful",1999,"Best Actor",8.6,"Comedy, Drama, Romance",116,"Italy","1998 - 2014"
"Mystic River",2004,"Best Actor",7.9,"Crime, Drama, Mystery",138,"USA","1998 - 2014"
"The Lord Of The Rings: The Return Of The King",2004,"Best Director",8.9,"Adventure, Drama, Fantasy",201,"New Zealand, USA","1998 - 2014"
"Beginners",2012,"Best Supporting Actor",7.2,"Comedy, Drama, Romance",105,"USA","1998 - 2014"
"Les Misérables",2013,"Best Supporting Actress",7.6,"Drama, History, Musical",158,"UK, USA","1998 - 2014"
"Gravity",2014,"Best Director",7.7,"Drama, Sci-Fi, Thriller",91,"UK, USA","1998 - 2014"
"Terms Of Endearment",1984,"Best Director",7.4,"Comedy, Drama",132,"USA","1981 - 1997"
"Terms Of Endearment",1984,"Best Supporting Actor",7.4,"Comedy, Drama",132,"USA","1981 - 1997"
"Terms Of Endearment",1984,"Best Supporting Actress",7.4,"Comedy, Drama",132,"USA","1981 - 1997"
