"movie","year_of_award","award","avg_vote","genre","duration","country","period"
"Cavalcade",1934,"Best Director",5.9,"Drama, Romance, War",112,"USA","1930 - 1946"
"Charly",1969,"Best Actor",7,"Drama, Romance, Sci-Fi",103,"USA","1964 - 1980"
"Chicago",2003,"Best Supporting Actress",7.1,"Comedy, Crime, Musical",113,"USA, Germany, Canada","1998 - 2014"
"Children Of A Lesser God",1987,"Best Actress",7.2,"Drama, Romance",119,"USA","1981 - 1997"
"City Slickers",1992,"Best Supporting Actor",6.7,"Comedy",113,"USA","1981 - 1997"
"Coal Miner's Daughter",1981,"Best Actress",7.5,"Biography, Drama, Music",124,"USA","1981 - 1997"
"Cocoon",1986,"Best Supporting Actor",6.7,"Comedy, Drama, Sci-Fi",117,"USA","1981 - 1997"
"Cold Mountain",2004,"Best Supporting Actress",7.2,"Adventure, Drama, History",154,"UK, Italy, Romania, USA","1998 - 2014"
"Come And Get It",1937,"Best Supporting Actor",7,"Drama, Romance",99,"USA","1930 - 1946"
"Come Back, Little Sheba",1953,"Best Actress",7.5,"Drama, Romance",99,"USA","1947 - 1963"
"Coming Home",1979,"Best Actor",7.3,"Drama, Romance, War",127,"USA","1964 - 1980"
"Coming Home",1979,"Best Actress",7.3,"Drama, Romance, War",127,"USA","1964 - 1980"
"Cool Hand Luke",1968,"Best Supporting Actor",8.1,"Crime, Drama",127,"USA","1964 - 1980"
"Crazy Heart",2010,"Best Actor",7.2,"Drama, Music, Romance",112,"USA","1998 - 2014"
"Cyrano De Bergerac",1951,"Best Actor",7.5,"Adventure, Drama, Romance",113,"USA","1947 - 1963"
"Dallas Buyers Club",2014,"Best Actor",8,"Biography, Drama",117,"USA","1998 - 2014"
"Dallas Buyers Club",2014,"Best Supporting Actor",8,"Biography, Drama",117,"USA","1998 - 2014"
"Dances With Wolves",1991,"Best Director",8,"Adventure, Drama, Western",181,"USA, UK","1981 - 1997"
"Dangerous",1936,"Best Actress",7,"Drama",79,"USA","1930 - 1946"
"Darling",1966,"Best Actress",7.1,"Drama, Romance",128,"UK","1964 - 1980"
"Dead Man Walking",1996,"Best Actress",7.5,"Crime, Drama",122,"UK, USA","1981 - 1997"
"Django Unchained",2013,"Best Supporting Actor",8.4,"Drama, Western",165,"USA","1998 - 2014"
"Dreamgirls",2007,"Best Supporting Actress",6.5,"Drama, Music, Musical",130,"USA","1998 - 2014"
"Driving Miss Daisy",1990,"Best Actress",7.4,"Drama",99,"USA","1981 - 1997"
"East Of Eden",1956,"Best Supporting Actress",7.9,"Drama",118,"USA","1947 - 1963"
"Ed Wood",1995,"Best Supporting Actor",7.8,"Biography, Comedy, Drama",127,"USA","1981 - 1997"
"Elmer Gantry",1961,"Best Actor",7.8,"Drama",146,"USA","1947 - 1963"
"Elmer Gantry",1961,"Best Supporting Actress",7.8,"Drama",146,"USA","1947 - 1963"
"Erin Brockovich",2001,"Best Actress",7.3,"Biography, Drama",131,"USA","1998 - 2014"
"Fargo",1997,"Best Actress",8.1,"Crime, Drama, Thriller",98,"USA, UK","1981 - 1997"
"For Whom The Bell Tolls",1944,"Best Supporting Actress",6.9,"Adventure, Drama, History",170,"USA","1930 - 1946"
"Forrest Gump",1995,"Best Actor",8.8,"Drama, Romance",142,"USA","1981 - 1997"
"Forrest Gump",1995,"Best Director",8.8,"Drama, Romance",142,"USA","1981 - 1997"
"From Here To Eternity",1954,"Best Supporting Actress",7.6,"Drama, Romance, War",118,"USA","1947 - 1963"
"From Here To Eternity",1954,"Best Director",7.6,"Drama, Romance, War",118,"USA","1947 - 1963"
"From Here To Eternity",1954,"Best Supporting Actor",7.6,"Drama, Romance, War",118,"USA","1947 - 1963"
"Funny Girl",1969,"Best Actress",7.4,"Biography, Comedy, Drama",151,"USA","1964 - 1980"
"Gandhi",1983,"Best Actor",8,"Biography, Drama, History",191,"UK, India","1981 - 1997"
"Gandhi",1983,"Best Director",8,"Biography, Drama, History",191,"UK, India","1981 - 1997"
"Gaslight",1945,"Best Actress",7.8,"Crime, Drama, Film-Noir",114,"USA","1930 - 1946"
"Gentleman's Agreement",1948,"Best Director",7.2,"Drama, Romance",118,"USA","1947 - 1963"
"Gentleman's Agreement",1948,"Best Supporting Actress",7.2,"Drama, Romance",118,"USA","1947 - 1963"
"Ghost",1991,"Best Supporting Actress",7,"Drama, Fantasy, Romance",127,"USA","1981 - 1997"
"Giant",1957,"Best Director",7.6,"Drama, Western",201,"USA","1947 - 1963"
"Gigi",1959,"Best Director",6.7,"Comedy, Musical, Romance",115,"USA","1947 - 1963"
"Girl, Interrupted",2000,"Best Supporting Actress",7.3,"Biography, Drama",127,"USA, Germany","1998 - 2014"
"Gladiator",2001,"Best Actor",8.5,"Action, Adventure, Drama",155,"USA, UK, Malta, Morocco","1998 - 2014"
"Glory",1990,"Best Supporting Actor",7.8,"Biography, Drama, History",122,"USA","1981 - 1997"
"Going My Way",1945,"Best Supporting Actor",7.1,"Comedy, Drama, Music",126,"USA","1930 - 1946"
"Going My Way",1945,"Best Director",7.1,"Comedy, Drama, Music",126,"USA","1930 - 1946"
"Going My Way",1945,"Best Actor",7.1,"Comedy, Drama, Music",126,"USA","1930 - 1946"
"Gone With The Wind",1940,"Best Director",8.1,"Drama, History, Romance",238,"USA","1930 - 1946"
"Gone With The Wind",1940,"Best Actress",8.1,"Drama, History, Romance",238,"USA","1930 - 1946"
"Gone With The Wind",1940,"Best Supporting Actress",8.1,"Drama, History, Romance",238,"USA","1930 - 1946"
"Good Will Hunting",1998,"Best Supporting Actor",8.3,"Drama, Romance",126,"USA","1998 - 2014"
"Guess Who's Coming To Dinner",1968,"Best Actress",7.8,"Comedy, Drama",108,"USA","1964 - 1980"
"Hamlet",1949,"Best Actor",7.7,"Drama",154,"UK","1947 - 1963"
"Hannah And Her Sisters",1987,"Best Supporting Actor",7.9,"Comedy, Drama",107,"USA","1981 - 1997"
"Hannah And Her Sisters",1987,"Best Supporting Actress",7.9,"Comedy, Drama",107,"USA","1981 - 1997"
"Harry And Tonto",1975,"Best Actor",7.4,"Adventure, Comedy, Drama",115,"USA","1964 - 1980"
"Harvey",1951,"Best Supporting Actress",7.9,"Comedy, Drama, Fantasy",104,"USA","1947 - 1963"
"High Noon",1953,"Best Actor",7.9,"Drama, Thriller, Western",85,"USA","1947 - 1963"
"How Green Was My Valley",1942,"Best Supporting Actor",7.7,"Drama, Family",118,"USA","1930 - 1946"
"How Green Was My Valley",1942,"Best Director",7.7,"Drama, Family",118,"USA","1930 - 1946"
"Howards End",1993,"Best Actress",7.4,"Drama, Romance",142,"UK, Japan, USA","1981 - 1997"
"Hud",1964,"Best Actress",7.9,"Drama, Western",112,"USA","1964 - 1980"
"Hud",1964,"Best Supporting Actor",7.9,"Drama, Western",112,"USA","1964 - 1980"
"I Want To Live!",1959,"Best Actress",7.4,"Biography, Crime, Drama",120,"USA","1947 - 1963"
"In Old Arizona",1930,"Best Actor",5.6,"Romance, Western",95,"USA","1930 - 1946"
"In Old Chicago",1938,"Best Supporting Actress",6.8,"Action, Drama, Musical",95,"USA","1930 - 1946"
"In The Heat Of The Night",1968,"Best Actor",8,"Crime, Drama, Mystery",110,"USA","1964 - 1980"
"Inglourious Basterds",2010,"Best Supporting Actor",8.3,"Adventure, Drama, War",153,"Germany, USA","1998 - 2014"
"Iris",2002,"Best Supporting Actor",7,"Biography, Drama, Romance",91,"UK, USA","1998 - 2014"
"It Happened One Night",1935,"Best Actress",8.1,"Comedy, Romance",105,"USA","1930 - 1946"
"It Happened One Night",1935,"Best Actor",8.1,"Comedy, Romance",105,"USA","1930 - 1946"
"It Happened One Night",1935,"Best Director",8.1,"Comedy, Romance",105,"USA","1930 - 1946"
"Jerry Maguire",1997,"Best Supporting Actor",7.3,"Comedy, Drama, Romance",139,"USA","1981 - 1997"
"Jezebel",1939,"Best Supporting Actress",7.5,"Drama, Romance",104,"USA","1930 - 1946"
"Jezebel",1939,"Best Actress",7.5,"Drama, Romance",104,"USA","1930 - 1946"
"Johnny Belinda",1949,"Best Actress",7.7,"Drama",102,"USA","1947 - 1963"
"Johnny Eager",1943,"Best Supporting Actor",7.1,"Crime, Film-Noir, Thriller",107,"USA","1930 - 1946"
"Julia",1978,"Best Supporting Actress",7.2,"Drama",117,"USA","1964 - 1980"
"Julia",1978,"Best Supporting Actor",7.2,"Drama",117,"USA","1964 - 1980"
"Kentucky",1939,"Best Supporting Actor",6.4,"Drama, Romance, Sport",96,"USA","1930 - 1946"
"Key Largo",1949,"Best Supporting Actress",7.8,"Action, Crime, Drama",100,"USA","1947 - 1963"
